Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bathymetry contribution,distp contribution,slope contribution,surface_temp contribution,bathymetry permutation importance,distp permutation importance,slope permutation importance,surface_temp permutation importance,Training gain without bathymetry,Training gain without distp,Training gain without slope,Training gain without surface_temp,Training gain with only bathymetry,Training gain with only distp,Training gain with only slope,Training gain with only surface_temp,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
species_20,42,0.1541,0.1660,140,0.6258,203,17.0852,49.6041,20.0887,13.2220,98.7421,0.0000,0.0000,1.2579,0.1396,0.1257,0.1344,0.1404,0.0781,0.0900,0.0640,0.0016,5.1591,0.5330,1.0000,0.1792,0.9015,0.0000,5.0000,0.4346,0.8128,0.0714,10.0000,0.4537,0.7389,0.0714,2.9675,0.3335,0.8522,0.0000,13.3218,0.4924,0.6946,0.0714,35.0010,0.5720,0.4532,0.4524,13.3218,0.4924,0.6946,0.0714,2.2760,0.2784,0.8670,0.0000,2.7343,0.3306,0.8571,0.0000
species_21,42,0.4376,0.4842,360,0.7704,203,81.0079,2.5313,1.0897,15.3710,83.1484,6.6227,2.2538,7.9750,0.1845,0.4170,0.4314,0.4054,0.3465,0.0475,0.0513,0.0449,4.8748,0.3886,1.0000,0.0976,0.8719,0.0238,5.0000,0.2028,0.7143,0.0238,10.0000,0.2742,0.5911,0.0952,0.2464,0.0612,0.9310,0.0000,12.7860,0.2968,0.5369,0.0952,32.5298,0.5484,0.2956,0.2857,30.7199,0.5373,0.3153,0.2143,7.1932,0.2274,0.6601,0.0238,7.9951,0.2338,0.6404,0.0238
species_22,42,0.1832,0.1989,140,0.6643,203,61.9562,16.7156,10.3086,11.0196,77.1898,0.0000,8.6131,14.1971,0.1338,0.1669,0.1617,0.1583,0.1336,0.0692,0.0393,0.0043,5.1299,0.5144,1.0000,0.2384,0.9310,0.0000,5.0000,0.3425,0.8424,0.0714,10.0000,0.3743,0.7488,0.1429,3.0720,0.3244,0.8818,0.0000,6.0152,0.3491,0.8177,0.0714,38.8409,0.5610,0.3793,0.3810,54.7385,0.6592,0.2365,0.4286,1.7785,0.2811,0.9113,0.0000,5.5072,0.3466,0.8325,0.0714
species_23,42,0.2699,0.2872,160,0.7024,203,33.8523,53.8144,0.0459,12.2875,64.7751,30.5882,0.0000,4.6367,0.2155,0.2029,0.2698,0.2481,0.1822,0.1548,0.0532,0.0035,5.0433,0.4675,1.0000,0.1418,0.8966,0.0238,5.0000,0.2917,0.7734,0.0476,10.0000,0.3654,0.6749,0.1190,0.8120,0.1346,0.9064,0.0000,9.9163,0.3611,0.6749,0.0952,35.1318,0.5468,0.3596,0.3810,52.7502,0.6888,0.2167,0.4286,0.8120,0.1346,0.9064,0.0000,5.8717,0.2954,0.7586,0.0476
species_24,42,0.2308,0.2392,120,0.6977,203,73.7298,0.1512,3.1118,23.0072,77.2914,0.5320,12.1161,10.0605,0.0868,0.2305,0.2231,0.1923,0.1623,0.0164,0.0020,0.0362,5.0824,0.4881,1.0000,0.1552,0.9163,0.0238,5.0000,0.3004,0.7931,0.0952,10.0000,0.3697,0.6946,0.1429,0.6958,0.1446,0.9310,0.0000,6.2900,0.3111,0.7685,0.0952,40.5132,0.6143,0.3300,0.3095,34.4087,0.5618,0.3793,0.2143,0.6958,0.1446,0.9310,0.0000,5.1417,0.3004,0.7931,0.0952
species_25,42,0.1586,0.1741,120,0.6613,203,60.7026,19.7437,13.9294,5.6243,69.8182,10.1488,18.9752,1.0579,0.1125,0.1394,0.1316,0.1465,0.1160,0.0645,0.0275,0.0004,5.1546,0.5283,1.0000,0.2489,0.9409,0.0000,5.0000,0.3446,0.8473,0.0238,10.0000,0.3996,0.7537,0.0714,4.2082,0.3370,0.8621,0.0000,10.8628,0.4043,0.7389,0.0714,38.6078,0.5759,0.3941,0.3571,36.6645,0.5591,0.4138,0.2857,1.6082,0.2710,0.9261,0.0000,4.9345,0.3437,0.8522,0.0238
species_26,42,0.1047,0.1116,80,0.6135,203,24.4932,19.0907,12.8273,43.5888,23.4391,0.2047,50.8700,25.4862,0.0936,0.0774,0.0834,0.0540,0.0267,0.0224,0.0101,0.0313,5.2085,0.5615,1.0000,0.2657,0.9507,0.0000,5.0000,0.3936,0.8621,0.0714,10.0000,0.4440,0.7783,0.0952,3.5805,0.3666,0.8867,0.0000,10.8760,0.4523,0.7685,0.0952,37.4343,0.6062,0.4532,0.4524,75.6124,0.7360,0.1429,0.6190,1.5818,0.2940,0.9360,0.0000,3.3307,0.3584,0.8966,0.0000
species_27,42,0.2889,0.2994,140,0.7255,203,1.1812,77.4783,9.4645,11.8760,3.2504,62.1990,23.8764,10.6742,0.2863,0.0970,0.2467,0.2400,0.0939,0.1974,0.0050,0.0000,5.0244,0.4584,1.0000,0.1228,0.8916,0.0000,5.0000,0.2365,0.7438,0.1190,10.0000,0.3371,0.6355,0.1429,3.7941,0.2107,0.7783,0.0000,4.1126,0.2151,0.7685,0.0952,43.5174,0.6441,0.2857,0.2857,44.8901,0.6487,0.2709,0.2857,3.7941,0.2107,0.7783,0.0000,4.9427,0.2321,0.7488,0.1190
species_28,42,0.2803,0.2918,120,0.7050,203,15.6325,41.6528,7.9841,34.7306,14.9877,33.6325,19.1609,32.2190,0.2476,0.1825,0.2460,0.1666,0.1067,0.0925,0.0006,0.0481,5.0328,0.4616,1.0000,0.1472,0.9113,0.0000,5.0000,0.2589,0.7783,0.0714,10.0000,0.3281,0.6700,0.0714,2.5622,0.2018,0.8473,0.0000,14.9920,0.3792,0.5862,0.0952,32.5849,0.5412,0.3744,0.3810,31.5709,0.5390,0.3842,0.2857,2.5622,0.2018,0.8473,0.0000,6.2008,0.2744,0.7537,0.0714
species_29,42,0.2894,0.3232,180,0.7180,203,18.2270,50.8904,6.7338,24.1488,37.2928,44.7908,13.5359,4.3804,0.2272,0.1454,0.2671,0.2549,0.0993,0.1361,0.0020,0.0273,5.0228,0.4572,1.0000,0.1608,0.8916,0.0000,5.0000,0.2697,0.7685,0.0238,10.0000,0.3258,0.6650,0.1190,4.9861,0.2689,0.7685,0.0000,9.0890,0.3137,0.6847,0.0952,37.0982,0.5615,0.3350,0.3333,42.2391,0.6014,0.2857,0.3333,4.9861,0.2689,0.7685,0.0000,6.2690,0.2815,0.7438,0.0238
species_30,42,0.2520,0.2784,180,0.6983,203,43.3797,53.5677,2.0380,1.0146,65.0171,26.1648,5.2382,3.5799,0.1388,0.1621,0.2472,0.2466,0.1584,0.1347,0.0123,0.0097,5.0610,0.4789,1.0000,0.1779,0.8768,0.0238,5.0000,0.2997,0.7635,0.0714,10.0000,0.3853,0.6700,0.0952,0.5159,0.1237,0.9015,0.0000,14.1648,0.4454,0.6108,0.0952,37.9687,0.5814,0.3596,0.3571,48.0682,0.6416,0.2759,0.4048,0.5159,0.1237,0.9015,0.0000,4.6746,0.2894,0.7734,0.0476
species_31,42,0.3579,0.3978,260,0.7435,203,16.0918,21.2042,20.0095,42.6945,20.4844,13.6226,36.5960,29.2970,0.3110,0.2833,0.2199,0.1896,0.0610,0.0182,0.0369,0.1087,4.9550,0.4224,1.0000,0.1188,0.9163,0.0476,5.0000,0.2209,0.7685,0.0476,10.0000,0.2831,0.6453,0.1190,0.3145,0.0790,0.9655,0.0000,8.1833,0.2618,0.6847,0.0952,32.8800,0.5087,0.3350,0.3333,49.1194,0.6492,0.2020,0.3571,0.3145,0.0790,0.9655,0.0000,7.9694,0.2604,0.6946,0.0952
species_32,42,0.2134,0.2264,140,0.6874,203,87.2123,9.2689,2.6748,0.8440,86.0161,4.0744,0.0000,9.9095,0.0975,0.2043,0.2093,0.2088,0.1976,0.0844,0.0527,0.0112,5.0998,0.4984,1.0000,0.1980,0.9064,0.0000,5.0000,0.2988,0.7980,0.0476,10.0000,0.3820,0.7044,0.1190,2.2904,0.2328,0.8670,0.0000,9.7363,0.3819,0.7044,0.0952,41.0771,0.6043,0.3399,0.3333,39.3936,0.5960,0.3547,0.3095,2.2904,0.2328,0.8670,0.0000,4.7884,0.2966,0.8030,0.0476
